start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2009-08-17T12,79,182,984,2009-08-18T06,78,190
2009-08-19T12,62,350,976,2009-08-22T00,74,350
2009-08-29T18,77,122,984,2009-08-31T00,80,150
2009-08-31T06,68,175,980,2009-09-01T12,72,185
2009-09-01T06,68,270,976,2009-09-02T18,63,285
2009-09-03T18,66,45,984,2009-09-04T06,78,48
2009-09-06T12,72,295,972,2009-09-07T12,62,300
2009-09-08T00,58,340,972,2009-09-10T00,72,25
2009-09-10T00,71,50,980,2009-09-12T18,81,115
2009-09-20T12,84,0,980,2009-09-21T12,76,0
2009-09-21T06,56,325,976,2009-09-24T12,78,5
2009-09-24T18,72,355,968,2009-10-03T00,80,20
2009-10-17T18,78,25,980,2009-10-18T06,77,78
2009-10-18T12,70,355,980,2009-10-19T18,73,0
